,page_number,Sheet Number,subject,Scaled Length,x1,y1,x2,y2,NM,ScaleFactor,author,modified_date,xref,Type,AISC_Manual_Label,W,PB
833,4,,"('W10X54',)",0.8232154345,21.3466661241,22.8833329942,21.2533331977,22.9266662598,fitz-A433,96,"('W10X54',)",,2613,,,,
834,4,,"('W10X54',)",0.8474757419000001,21.2999996609,22.9033338759,21.2566663954,22.8066677517,fitz-A434,96,"('W10X54',)",,2615,,,,
835,4,,"('W10X54',)",0.8266601562,25.1600002713,36.5633341471,25.1600002713,36.6666666667,fitz-A435,96,"('W10X54',)",,2767,,,,
836,4,,"('W10X54',)",0.8266601562,25.2633327908,36.5633341471,25.2633327908,36.6666666667,fitz-A436,96,"('W10X54',)",,2769,,,,
837,4,,"('W10X54',)",0.8266601562,25.2633327908,36.6133321126,25.1600002713,36.6133321126,fitz-A437,96,"('W10X54',)",,2771,,,,
838,4,,"('W10X54',)",0.8266601562,25.1600002713,30.7100016276,25.1600002713,30.8133341471,fitz-A438,96,"('W10X54',)",,2773,,,,
839,4,,"('W10X54',)",0.8266601562,25.2633327908,30.7100016276,25.2633327908,30.8133341471,fitz-A439,96,"('W10X54',)",,2775,,,,
840,4,,"('W10X54',)",0.8266601562,25.2633327908,30.7599995931,25.1600002713,30.7599995931,fitz-A440,96,"('W10X54',)",,2777,,,,
841,4,,"('W10X54',)",0.8266601562,25.2633327908,25.0833333333,25.1600002713,25.0833333333,fitz-A441,96,"('W10X54',)",,2779,,,,
842,4,,"('W10X54',)",0.8266601562,25.2633327908,25.190000746,25.1600002713,25.190000746,fitz-A442,96,"('W10X54',)",,2781,,,,
843,4,,"('W10X54',)",0.8533393012,25.2099999322,25.190000746,25.2099999322,25.0833333333,fitz-A443,96,"('W10X54',)",,2783,,,,
844,4,,"('W10X54',)",0.8266601562,25.1600002713,28.3333333333,25.1600002713,28.4366658529,fitz-A444,96,"('W10X54',)",,2785,,,,
845,4,,"('W10X54',)",0.8266601562,25.2633327908,28.3333333333,25.2633327908,28.4366658529,fitz-A445,96,"('W10X54',)",,2787,,,,
846,4,,"('W10X54',)",0.8266601562,25.2633327908,28.3866678874,25.1600002713,28.3866678874,fitz-A446,96,"('W10X54',)",,2789,,,,
847,4,,"('W10X54',)",0.8266601562,25.1600002713,33.9600016276,25.1600002713,34.0633341471,fitz-A447,96,"('W10X54',)",,2791,,,,
848,4,,"('W10X54',)",0.8266601562,25.2633327908,33.9600016276,25.2633327908,34.0633341471,fitz-A448,96,"('W10X54',)",,2793,,,,
849,4,,"('W10X54',)",0.8266601562,25.2633327908,34.0099995931,25.1600002713,34.0099995931,fitz-A449,96,"('W10X54',)",,2795,,,,
850,4,,"('W10X54',)",0.8266601562,21.8466661241,36.5633341471,21.8466661241,36.6666666667,fitz-A450,96,"('W10X54',)",,2797,,,,
851,4,,"('W10X54',)",0.8266601562,21.9500003391,36.5633341471,21.9500003391,36.6666666667,fitz-A451,96,"('W10X54',)",,2799,,,,
852,4,,"('W10X54',)",0.8266737196,21.9500003391,36.6133321126,21.8466661241,36.6133321126,fitz-A452,96,"('W10X54',)",,2801,,,,
853,4,,"('W10X68',)",0.8533528646,21.8433329264,30.7066650391,21.8433329264,30.8133341471,fitz-A453,96,"('W10X68',)",,2803,,,,
854,4,,"('W10X68',)",0.8533528646,21.9533335368,30.7066650391,21.9533335368,30.8133341471,fitz-A454,96,"('W10X68',)",,2805,,,,
855,4,,"('W10X68',)",0.8800048828,21.9533335368,30.7599995931,21.8433329264,30.7599995931,fitz-A455,96,"('W10X68',)",,2807,,,,
